id,name,original_name,director,mother_company,length_minutes,year,country,picture_format,age_limit,number_of_disks,weight,rating,num_of_rates,price,picture
26223,'just name','just orig name','just dir name','just mc name','97','2004','США','PAL | 1080p High Definition 16:9','16+',1,65.0,'4.5',68,399.0,'./img/26223jpg'
127614,'just name','just orig name','just dir name','just mc name','99','2018','США','PAL | 1080p Full High Definition 16:9 (2.40:1)','16+',1,70.0,'4.5',43,799.0,'./img/127614jpg'
20378,'just name','just orig name','just dir name','just mc name','105','2009','США| Канада','PAL | 1080р High Defenition 16:9','12+',1,70.0,'4.5',68,799.0,'./img/20378jpg'
52666,'just name','just orig name','just dir name','just mc name','124','2013','Дания| Германия| Франция| Бельгия| Великобритания','NTSC | 1080p High Definition 16:9','18+',1,65.0,'4.4',67,404.0,'./img/52666jpg'
52668,'just name','just orig name','just dir name','just mc name','242','2013','Дания| Германия| Франция| Бельгия| Великобритания','NTSC | 1080p Full High Definition','18+',2,155.0,'4.5',60,899.0,'./img/52668jpg'
94735,'just name','just orig name','just dir name','just mc name','105','2016','США','PAL | 1080p Full High Definition 16:9 (1.78:1)','18+',1,65.0,'4.5',48,534.0,'./img/94735jpg'
135568,'just name','just orig name','just dir name','just mc name','141','2018','США','PAL | 1080p High Definition 16:9 (2.39:1)','18+',1,115.0,'4.4',71,699.0,'./img/135568jpg'
21600,'just name','just orig name','just dir name','just mc name','105','2006','США','PAL | 1080p High Definition 16:9','0+',1,70.0,'4.5',57,999.0,'./img/21600jpg'
121052,'just name','just orig name','just dir name','just mc name','99','2018','Россия','PAL | 1080p Full High Definition 16:9 (1.85:1)','16+',1,85.0,'4.4',43,722.0,'./img/121052jpg'
24177,'just name','just orig name','just dir name','just mc name','85','2009','США','PAL | 1080i High Defenition 16:9 (1.78:1)','18+',1,60.0,'4.5',37,599.0,'./img/24177jpg'
46188,'just name','just orig name','just dir name','just mc name','157','2012','Великобритания','PAL | 1080p High Definition 16:9 (1.37:1)','12+',1,65.0,'4.5',43,699.0,'./img/46188jpg'
47217,'just name','just orig name','just dir name','just mc name','130','2013','США','PAL | 1080р High Definition 16:9 (2.35:1)','12+',1,0.0,'4.4',24,899.0,'./img/47217jpg'
41138,'just name','just orig name','just dir name','just mc name','129','2009','США','PAL | 1080i High Defenition 16:9 (2.40:1)','18+',1,75.0,'4.5',59,799.0,'./img/41138jpg'
33522,'just name','just orig name','just dir name','just mc name','98','2008','США| Франция| Великобритания','PAL | 1080p Full High Definition 16:9 (1.85:1)','18+',1,65.0,'4.6',41,279.0,'./img/33522jpg'
81839,'just name','just orig name','just dir name','just mc name','257','2016','США','PAL | 1080p Full High Definition 16:9 (2.40:1)','16+',2,100.0,'4.4',70,476.0,'./img/81839jpg'
51480,'just name','just orig name','just dir name','just mc name','138','2014','США','PAL | Anamorphic WideScreen 1.85:1','16+',1,60.0,'4.6',53,534.0,'./img/51480jpg'
94393,'just name','just orig name','just dir name','just mc name','114','1988','Великобритания| Нидерланды','PAL | 1080p Full High Definition 16:9 (1.66:1)','18+',1,60.0,'4.5',65,449.0,'./img/94393jpg'
